Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Evgeniy Kuznetsov,75,2,9:45 - s,6,282 reps - s,9,11:52 - s,57,292 reps - s,1,5:11 - s
2, ,107,32,11:24 - s,16,274 reps - s,20,13:24 - s,5,319 reps - s,34,6:15 - s
3,Evgeniy Zhuravlev,122,40,11:36 - s,53,249 reps - s,2,10:18 - s,16,311 reps - s,11,5:56 - s
4,Nikolay Nagornykh,147,29,11:16 - s,11,278 reps - s,3,10:25 - s,26,303 reps - s,78,6:34 - s
5,Ziad Elfeki,172,8,10:35 - s,10,280 reps - s,77,15:45 - s,23,305 reps - s,54,6:25 - s
6,Christopher Wyant,198,11,10:45 - s,26,260 reps - s,41,14:47 - s,85,288 reps - s,35,6:16 - s
7,Charles Baggio,203,16,10:52 - s,1,311 reps - s,182,17:35 - s,1,355 reps - s,3,5:35 - s
8,Fatih Balta,204,13,10:48 - s,15,274 reps - s,97,16:03 - s,69,290 reps - s,10,5:55 - s
9,Nathan Rakestraw,223,40,11:36 - s,22,264 reps - s,68,15:35 - s,80,290 reps - s,13,5:58 - s
10,SeongHun Park,235,70,12:03 - s,2,291 reps - s,25,13:40 - s,127,284 reps - s,11,5:56 - s
11,Pavel Koyushev,329,12,10:47 - s,99,240 reps - s,51,15:09 - s,162,279 reps - s,5,5:49 - s
12,Benedetto Orlando,411,178,12:47 - s,65,245 reps - s,111,16:24 - s,7,315 reps - s,50,6:23 - s
13,Erminio Iantosca,412,167,12:44 - s,76,243 reps - s,74,15:40 - s,48,295 reps - s,47,6:22 - s
14,Evgeniy Shelestov,413,38,11:33 - s,21,268 reps - s,246,18:45 - s,87,288 reps - s,21,6:07 - s
15,Mauro Corriga,426,9,10:38 - s,85,242 reps - s,38,14:40 - s,216,275 reps - s,78,6:34 - s
16,Marc Podkowik,447,20,11:05 - s,28,259 reps - s,357,20:14 - s,11,314 reps - s,31,6:12 - s
17,Ege Olgun,601,85,12:17 - s,122,237 reps - s,49,15:06 - s,322,271 reps - s,23,6:08 - s
18,Alessandro Caprasecca,617,106,12:24 - s,189,228 reps - s,200,18:01 - s,84,288 reps - s,38,6:18 - s
19,Federico Gryntysz,639,327,13:16 - s,184,229 reps - s,13,12:37 - s,87,288 reps - s,28,6:09 - s
20,Mario Fabre,648,497,13:37 - s,33,256 reps - s,25,13:40 - s,74,290 reps - s,19,6:05 - s
21,Lucas Rey,651,40,11:36 - s,35,256 reps - s,287,19:23 - s,123,284 reps - s,166,6:53 - s
22,Shannon McKibben,676,116,12:26 - s,159,230 reps - s,145,17:01 - s,111,285 reps - s,145,6:49 - s
23,Geon Woo Park,693,4,10:10 - s,96,240 reps - s,428,21:08 - s,96,286 reps - s,69,6:31 - s
24,David Quintana Urbano,705,152,12:40 - s,103,239 reps - s,189,17:49 - s,79,290 reps - s,182,6:56 - s
25,Bahman Engineer,730,24,11:12 - s,304,220 reps - s,246,18:45 - s,19,306 reps - s,137,6:48 - s
26,Ryan Robin,789,64,11:59 - s,392,217 reps - s,243,18:43 - s,20,306 reps - s,70,6:32 - s
27,Leonardo Bogado,804,617,13:50 - s,3,288 reps - s,4,10:39 - s,102,286 reps - s,78,6:34 - s
28,Dmitriy Safonov,819,18,11:00 - s,25,260 reps - s,648,22:59 - s,29,302 reps - s,99,6:38 - s
29,Benjamin Coetsee,837,21,11:08 - s,207,226 reps - s,574,22:22 - s,28,303 reps - s,7,5:50 - s
30,Michael Kouromichelakis,840,297,13:10 - s,146,233 reps - s,167,17:23 - s,85,288 reps - s,145,6:49 - s
31,Malherbe van Heerden,905,215,12:53 - s,155,231 reps - s,50,15:08 - s,35,299 reps - s,450,7:26 - s
32,Bok Tae Heon,916,682,13:57 - s,37,254 reps - s,6,11:26 - s,151,280 reps - s,40,6:19 - s
33,Keegan Morch,1005,128,12:32 - s,24,263 reps - s,148,17:05 - s,387,268 reps - s,318,7:13 - s
34,Justin Wiens,1011,723,14:00 - s,84,242 reps - s,55,15:16 - s,59,292 reps - s,90,6:36 - s
35,Matteo Lizzio,1128,338,13:17 - s,180,229 reps - s,167,17:23 - s,385,268 reps - s,58,6:26 - s
36,Nikita Shiryaev,1129,192,12:49 - s,118,238 reps - s,13,12:37 - s,292,274 reps - s,514,7:31 - s
37,Damien Bugler,1154,557,13:44 - s,112,238 reps - s,313,19:38 - s,141,282 reps - s,31,6:12 - s
38,Nik Boxan,1157,240,12:59 - s,241,224 reps - s,67,15:34 - s,126,284 reps - s,483,7:29 - s
39,Kim Kahr,1197,50,11:43 - s,45,252 reps - s,913,203 reps - s,116,285 reps - s,73,6:33 - s
40,Jure Rupnik,1216,81,12:15 - s,200,227 reps - s,267,19:06 - s,578,261 reps - s,90,6:36 - s
41,Johan Ceimertz,1233,91,12:19 - s,865,206 reps - s,28,13:54 - s,202,276 reps - s,47,6:22 - s
42,Filippo Tavazzani,1243,215,12:53 - s,49,251 reps - s,189,17:49 - s,442,265 reps - s,348,7:17 - s
43,Jungnam Kim,1250,33,11:26 - s,75,243 reps - s,919,203 reps - s,163,279 reps - s,60,6:27 - s
44,Michael Wright,1278,235,12:58 - s,114,238 reps - s,369,20:20 - s,540,262 reps - s,20,6:06 - s
45,Nate Lawson,1288,116,12:26 - s,76,243 reps - s,10,12:00 - s,458,265 reps - s,628,7:39 - s
46,Matteo Merlo,1340,5,10:18 - s,29,258 reps - s,1081,191 reps - s,15,312 reps - s,210,7:00 - s
47,Tim Berndsen,1343,31,11:20 - s,34,256 reps - s,1117,191 reps - s,107,285 reps - s,54,6:25 - s
48,Michael Whittlinger,1347,83,12:16 - s,141,234 reps - s,693,23:19 - s,238,275 reps - s,192,6:57 - s
49,Tanner Dunlap,1403,224,12:55 - s,54,248 reps - s,296,19:28 - s,379,268 reps - s,450,7:26 - s
50,Adam Milliren,1429,123,12:29 - s,311,220 reps - s,125,16:39 - s,764,257 reps - s,106,6:41 - s
51,Luca Pisciotta,1461,128,12:32 - s,69,244 reps - s,1092,191 reps - s,6,318 reps - s,166,6:53 - s
52,O Huck Jang,1467,139,12:38 - s,109,238 reps - s,1095,191 reps - s,116,285 reps - s,8,5:51 - s
53,Pedro Cubas,1473,394,13:25 - s,738,209 reps - s,60,15:24 - s,260,275 reps - s,21,6:07 - s
54,Patrick Ruggiero,1503,723,14:00 - s,151,231 reps - s,78,15:48 - s,401,267 reps - s,150,6:50 - s
55,Sergei Grigoryan,1523,263,13:03 - s,176,230 reps - s,140,16:56 - s,525,263 reps - s,419,7:24 - s
56,Bongiovanni Mario,1525,45,11:41 - s,328,219 reps - s,1070,191 reps - s,9,314 reps - s,73,6:33 - s
56,Luke O'Sullivan,1525,198,12:50 - s,149,232 reps - s,528,22:02 - s,513,263 reps - s,137,6:48 - s
58,Kevin Slider,1530,3,9:49 - s,68,244 reps - s,1374,191 reps - s,62,291 reps - s,23,6:08 - s
59,Nicola Palermo,1534,81,12:15 - s,73,243 reps - s,79,15:49 - s,434,265 reps - s,867,7:55 - s
60,Francisco Martinez,1566,385,13:24 - s,114,238 reps - s,800,215 reps - s,63,291 reps - s,204,6:59 - s
61,Mattia Chiarato,1607,1339,14:45 - s,42,253 reps - s,36,14:34 - s,8,315 reps - s,182,6:56 - s
62,Vincenzo jr Caruso,1644,497,13:37 - s,255,223 reps - s,148,17:05 - s,682,259 reps - s,62,6:28 - s
63,Vlad Khamidullin,1668,723,14:00 - s,60,247 reps - s,805,215 reps - s,52,293 reps - s,28,6:09 - s
64,Simone Maffioletti,1691,51,11:46 - s,225,225 reps - s,1096,191 reps - s,37,299 reps - s,282,7:09 - s
65,Daniel Vianna,1698,267,13:04 - s,190,228 reps - s,205,18:05 - s,510,263 reps - s,526,7:32 - s
66,Hassan Balbaa,1704,595,13:48 - s,85,242 reps - s,65,15:33 - s,599,261 reps - s,360,7:18 - s
67,Oier Atxurra Lasfuentes,1769,85,12:17 - s,376,217 reps - s,1089,191 reps - s,74,290 reps - s,145,6:49 - s
68,Adam McMahen,1791,916,14:16 - s,340,219 reps - s,56,15:18 - s,320,271 reps - s,159,6:51 - s
69,Jarrod Heltsley,1807,809,14:09 - s,210,226 reps - s,186,17:46 - s,102,286 reps - s,500,7:30 - s
70,Slava Kuts,1811,124,12:30 - s,232,224 reps - s,1309,191 reps - s,68,290 reps - s,78,6:34 - s
71,Anousith Bouaaphone,1832,426,13:30 - s,70,244 reps - s,1074,191 reps - s,249,275 reps - s,13,5:58 - s
